movie_title,mcu_phase,release_date,tomato_meter,audience_score,movie_duration,production_budget,opening_weekend,domestic_box_office,worldwide_box_office
Iron Man,1,5/2/2008,94,91,126,186000000,102118668,318604126,585171547
The Incredible Hulk,1,6/13/2008,67,70,112,137500000,55414050,134806913,265573859
Iron Man 2,1,5/7/2010,72,71,124,170000000,128122480,312433331,621156389
Thor,1,5/6/2011,77,76,113,150000000,65723338,181030624,449326618
Captain America: The First Avenger,1,7/22/2011,79,75,124,140000000,65058524,176654505,370569776
The Avengers,1,5/4/2012,91,91,143,225000000,207438708,623357910,1515100211
Iron Man 3,2,5/3/2013,79,78,130,200000000,174144585,408992272,1215392272
Thor: The Dark World,2,11/8/2013,66,75,111,150000000,85737841,206362140,644602516
Captain America: The Winter Soldier,2,4/4/2014,90,92,135,170000000,95023721,259746958,714401889
Guardians of the Galaxy,2,8/1/2014,92,92,121,170000000,94320883,333714112,770882395
Avengers: Age of Ultron,2,5/1/2015,76,83,141,365000000,191271109,459005868,1395316979
Ant-Man,2,7/17/2015,83,85,117,130000000,57225526,180202163,518858449
Captain America: Civil War,3,5/6/2016,90,89,146,250000000,179139142,408084349,1151918521
Doctor Strange,3,11/4/2016,89,86,115,165000000,85058311,232641920,676354481
Guardians of the Galaxy Vol. 2,3,5/5/2017,85,87,135,200000000,146510104,389813101,869113101
Spider-Man: Homecoming,3,7/7/2017,92,87,133,175000000,117027503,334201140,878346440
Thor: Ragnarok,3,11/3/2017,93,87,130,180000000,122744989,315058289,850482778
Black Panther,3,2/16/2018,96,79,134,200000000,202003951,700059566,1336494321
Avengers: Infinity War,3,4/27/2018,85,91,149,300000000,257698183,678815482,2048359754
Ant-Man and the Wasp,3,7/6/2018,87,81,118,130000000,75812205,216648740,623144660
Captain Marvel,3,3/8/2019,79,45,124,175000000,153433423,426829839,1129727388
Avengers: End Game,3,4/26/2019,94,90,181,400000000,357115007,858373000,2797800564
Spider-Man: Far From Home,3,7/2/2019,90,95,129,160000000,92579212,390532085,1132532832
Black Widow,4,7/9/2021,79,91,133,200000000,80366312,183651655,379751655
Shang-Chi and the Legend of the Ten Rings,4,9/3/2021,91,98,133,150000000,75388688,224543292,432243292
Eternals,4,11/5/2021,47,78,157,200000000,71297219,164870264,402064929
Spider-Man: No Way Home,4,12/17/2021,93,98,148,200000000,260138569,803975784,1891108035
Doctor Strange in the Multiverse of Madness,4,5/6/2022,74,85,126,200000000,187420998,411331607,952224986
Thor: Love and Thunder,4,8/8/2022,64,77,125,250000000,144165107,343256830,745246850
